aisle_id,aisle
120,yogurt
108,other creams cheeses
83,fresh vegetables
95,canned meat seafood
24,fresh fruits
21,packaged cheese
2,specialty cheeses
115,water seltzer sparkling water
53,cream
123,packaged vegetables fruits
86,eggs
96,lunch meat
117,nuts seeds dried fruit
19,oils vinegars
116,frozen produce
16,fresh herbs
31,refrigerated
71,refrigerated pudding desserts
81,canned jarred vegetables
91,soy lactosefree
78,crackers
106,hot dogs bacon sausage
129,frozen appetizers sides
36,butter
67,fresh dips tapenades
59,canned meals beans
37,ice cream ice
74,dish detergents
84,milk
99,canned fruit applesauce
34,frozen meat seafood
17,baking ingredients
75,laundry
69,soup broth bouillon
72,condiments
98,juice nectars
128,tortillas flat bread
25,soap
111,plates bowls cups flatware
85,food storage
54,paper goods
107,chips pretzels
9,pasta sauce
133,muscles joints pain relief
11,cold flu allergy
112,bread
63,grains rice dried goods
88,spreads
23,popcorn jerky
70,digestion
82,baby accessories
100,missing
6,other
87,more household
32,packaged produce
45,candy chocolate
48,breakfast bars pastries
114,cleaning products
104,spices seasonings
56,diapers wipes
12,fresh pasta
52,frozen breakfast
30,latino foods
51,preserved dips spreads
66,asian foods
110,pickled goods olives
4,instant foods
3,energy granola bars
130,hot cereal pancake mixes
7,packaged meat
77,soft drinks
61,cookies cakes
79,frozen pizza
94,tea
64,energy sports drinks
13,prepared meals
35,poultry counter
125,trail mix snack mix
43,buns rolls
1,prepared soups salads
105,doughs gelatins bake mixes
80,deodorants
131,dry pasta
38,frozen meals
121,cereal
93,breakfast bakery
62,white wines
26,coffee
50,fruit vegetable snacks
20,oral hygiene
15,packaged seafood
68,bulk grains rice dried goods
49,packaged poultry
127,body lotions soap
14,tofu meat alternatives
40,dog food care
8,bakery desserts
92,baby food formula
29,honeys syrups nectars
122,meat counter
60,trash bags liners
10,kitchen supplies
22,hair care
27,beers coolers
118,first aid
47,vitamins supplements
57,granola
65,protein meal replacements
55,shave needs
89,salad dressing toppings
76,indian foods
42,frozen vegan vegetarian
124,spirits
119,frozen dessert
46,mint gum
