product_id,department_id,product_name,aisle_id
196,7,Soda,77
199,4,Herb Thyme Clamshell,16
260,4,Cantaloupe,24
283,9,Organic Whole Wheat Elbows,131
329,16,Organic Whole Grassmilk Milk,84
365,14,Cheerios Cereal,121
424,9,Linguine Pasta,131
432,16,Vanilla Almond Breeze Almond Milk,91
459,16,Honey Vanilla Greek Yogurt,120
640,9,Spicy Tomato & Basil Pasta Sauce,9
651,16,Organic Salted Butter,36
747,13,Xylitol Sweetener,17
760,19,Cracker Trio Selected Favorites,78
778,7,All Natural Homestyle California Lemon Limeade,31
790,15,Garbanzo Beans,59
1006,16,Philadelphia Cream Cheese,108
1017,7,Strawberry Banana Juice,31
1194,7,Natural Artisan Water,115
1203,13,Crunchy Organic Dark Roasted Peanut Butter,88
1263,16,American Cheese Slices 12 Count,21
1269,13,of Norwich Original English Mustard Powder Double Superfine,104
1308,13,Organic Coconut Flour,17
1313,19,Tortilla Strips Restaurant Style,107
1376,13,Buttermilk Biscuits,105
1408,4,Mini Cucumbers,123
1449,1,Firecracker  Ice Pops,37
1460,19,Restaurant Style Tortilla Rounds,107
1465,1,Original French Toast Sticks,52
1529,4,"Parsley, Italian (Flat), New England Grown",16
1582,20,Turkey Pepperoni Slices,96
1640,1,Beyond Beef Fiesty Crumble,42
1939,17,Geranium Liquid Dish Soap,74
1940,16,Organic 2% Reduced Fat Milk,84
1991,7,Organic Lemonade Fruit Juice Drink,98
2040,17,Wrap Aluminum Foil Heavy Duty,85
2042,13,Salt Free Herbes De Provence Blend,104
2081,1,Crispy Seasoned Potato Puffs with Roasted Garlic & Cracked Pepper,129
2086,17,Sustainably Soft Bath Tissue,54
2091,19,Almond Nut & Rice Cracker Snacks,78
2120,5,Sauvignon Blanc,62
2180,9,Angel Hair Pasta,131
2187,16,Strawberry Milk,84
2228,1,Organic Frozen Mango Chunks,116
2295,4,Yellow Bell Pepper,83
2314,16,Whole Milk Ricotta Cheese,108
2380,13,Cayenne Pepper,104
2435,1,Teriyaki Meal Bowls,38
2450,6,Taco Seasoning,30
2469,4,Italian Salad Blend,123
2545,13,Gluten Free Chocolate Chunk Cookie Dough,105
2716,16,Organic Greek Lowfat Yogurt With Strawberries,120
2825,20,Organic Original Hommus,67
2966,7,Pure Coconut Water,98
3118,14,Original Instant Grits,130
3188,4,Chayote,83
3308,3,Original English Muffins,93
3389,7,Diet Dr.Pepper Soda Pack,77
3464,4,"Organic Butterhead (Boston, Butter, Bibb) Lettuce",83
3616,9,Stove Top Stuffing Mix For Chicken,4
3634,19,Krinkle Cut Classic Barbecue Potato Chips,107
3664,7,Slim Can Lime Sparkling Natural Mineral Water,115
3717,1,Cheese Enchilada Meal,38
3765,16,Original Whole Fat Lactose Free Milk,91
3789,16,0% Fat Superfruits Greek Yogurt,120
3798,4,Pink Lady Apples,24
3808,13,Olive Oil Cooking Spray,19
3836,20,Spinach And Artichoke Hummus,67
3843,4,Organic Brussels Sprouts,83
